Číslo;Název;Pořadové číslo;Příjmení, jméno;Tituly;Věk;Navrhující strana;Politická příslušnost;Hlasy abs.;Hlasy v %;Pořadí zvolení/náhradníka;Mandát;Rok
7;Strana svobodných občanů;1;Kupilík Václav;;41;Svobodní;Svobodní;981;2.8;0;False;2014
4;Toryové;22;Kusbach Miroslav;;46;TOR;BEZPP;567;2.19;0;False;2014
13;OBČANÉ PRO BUDĚJOVICE;41;Kuthan Petr;Bc.;23;NK;BEZPP;2947;1.99;33;False;2014
5;Vize Národních Socialistů;4;Kutišová Zdeňka;;41;ČSNS 2005;BEZPP;36;10.94;0;False;2014
17;Občanská demokratická strana;3;Lamač Petr;Ing.;27;ODS;ODS;1340;2.37;1;False;2014
4;Toryové;26;Langhans Jan;Ing.;60;TOR;BEZPP;564;2.18;0;False;2014
13;OBČANÉ PRO BUDĚJOVICE;4;Látal Hynek;Mgr. Ph.D.;36;NK;BEZPP;3642;2.46;3;True;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;20;Látal Jan;Mgr.;40;Změna;BEZPP;908;2.19;0;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;13;Latislav Martin;;37;PRO ZS;BEZPP;766;2.04;0;False;2014
16;ANO 2011;2;Lavička Viktor;Mgr.;46;ANO;ANO;5138;2.38;3;True;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;24;Lavičková Monika;Mgr.;37;Zelení;BEZPP;894;2.16;0;False;2014
3;Česká str.sociálně demokrat.;25;Lencová Simona;;40;ČSSD;ČSSD;3522;2.21;16;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;44;Lender Jaroslav;;79;BPI;BEZPP;139;1.61;0;False;2014
16;ANO 2011;34;Leština František;Ing.;61;ANO;BEZPP;4695;2.17;22;False;2014
10;TOP 09;18;Leština Jan;;40;TOP 09;TOP 09;1505;2.18;14;False;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;36;Leština Jiří;;46;BPI;BEZPP;160;1.86;0;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;3;Leština Miroslav;;50;PRO ZS;PRO ZS;967;2.57;0;False;2014
